Brand=["Mekhala"],Reporting Range=["Monthly"],Select year=["2023"],Select month=["September"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"thai green curry paste organic","209","10","328","23","7.01","7","70.0","4","57.14","6.69","6.49","0","2","0","5","50.0","3","60.0","6.69","7.39","0","2","0","2","20.0","2","100.0","7.39","7.39","0","1","0","2023-09-30"
"mayonnaise no sugar","557","55","1589","14","0.88","22","40.0","1","4.55","6.98","6.49","4","10","3","3","5.45","1","33.33","6.79","6.49","0","1","0","1","1.82","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"organic yellow curry paste","103","53","1348","126","9.35","32","60.38","13","40.63","7.99","7.99","1","9","7","15","28.3","7","46.67","7.99","7.99","0","6","2","8","15.09","4","50.0","7.99","7.99","0","4","1","2023-09-30"
"gluten free asian sauces","853","264","6162","221","3.59","136","51.52","1","0.74","13.25","7.99","1","40","47","63","23.86","1","1.59","11.98","7.99","1","16","21","12","4.55","0","0.0","13.49",,"0","3","3","2023-09-30"
"kabob","838","4017","82484","272","0.33","1383","34.43","1","0.07","7.99","6.49","19","69","48","805","20.04","1","0.12","5.48","6.49","10","21","12","408","10.16","0","0.0","12.99",,"6","12","2","2023-09-30"
"kreung paste","911","33","728","63","8.65","15","45.45","3","20.0","14.95","7.99","0","8","5","3","9.09","1","33.33","14.95","7.99","0","1","2","2","6.06","0","0.0","14.95",,"0","1","1","2023-09-30"
"stir fry beef","946","2589","53240","105","0.2","1122","43.34","1","0.09","8.29","6.49","0","1","2","830","32.06","1","0.12","8.29","6.49","0","0","1","401","15.49","0","0.0","9.99",,"0","0","1","2023-09-30"
"chickpea miso paste","902","356","8885","114","1.28","146","41.01","2","1.37","12.49","7.29","2","18","24","49","13.76","1","2.04","12.49","7.29","1","4","5","14","3.93","0","0.0","12.49",,"0","2","1","2023-09-30"
"gluten free","922","368816","7372451","382","0.01","98999","26.84","1","0.0","6.99","6.49","4343","13745","10238","57819","15.68","0","0.0","6.49",,"2301","6193","4329","19636","5.32","0","0.0","6.29",,"1010","2165","1222","2023-09-30"
"zucchini organic","219","6149","128071","2160","1.69","3326","54.09","3","0.09","2.19","6.49","0","0","0","2629","42.75","0","0.0","2.19",,"0","0","0","1523","24.77","0","0.0","2.19",,"0","0","0","2023-09-30"
"organic green curry","357","18","479","39","8.14","12","66.67","3","25.0","10.25","7.99","0","4","4","4","22.22","2","50.0","7.99","7.99","0","2","1","1","5.56","1","100.0","7.99","7.99","0","0","0","2023-09-30"
"ginger scallion paste","520","2","80","3","3.75","2","100.0","2","100.0","7.99","7.99","0","0","2","1","50.0","1","100.0","7.99","7.99","0","0","1","1","50.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"gluten free gochujang","753","1320","35254","691","1.96","833","63.11","2","0.24","9.99","7.99","32","240","243","254","19.24","0","0.0","11.99",,"9","70","69","102","7.73","0","0.0","12.99",,"4","33","33","2023-09-30"
"tom yum soup","346","1057","24897","575","2.31","440","41.63","8","1.82","9.99","6.49","11","120","148","139","13.15","2","1.44","9.59","6.49","2","28","49","45","4.26","0","0.0","9.99",,"2","13","12","2023-09-30"
"thai basil garlic paste","146","10","246","22","8.94","7","70.0","7","100.0","7.99","7.99","0","1","4","4","40.0","4","100.0","7.99","7.99","0","1","1","3","30.0","3","100.0","7.99","7.99","0","1","1","2023-09-30"
"bamboo shoots","829","6561","157895","286","0.18","2538","38.68","1","0.04","11.62","6.49","30","450","521","1389","21.17","1","0.07","5.29","6.49","7","188","194","568","8.66","0","0.0","5.29",,"3","80","78","2023-09-30"
"vagan tomyum","644","1","19","3","15.79","1","100.0","1","100.0","7.99","7.99","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","1","100.0","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"laksa paste","59","1467","37965","1633","4.3","820","55.9","28","3.41","10.3","7.89","19","225","349","359","24.47","13","3.62","9.99","7.89","7","103","158","139","9.48","5","3.6","10.3","7.89","3","43","63","2023-09-30"
"laksa paste vegan","635","2","39","3","7.69","1","50.0","1","100.0","7.89","7.89","0","1","0","1","50.0","1","100.0","7.89","7.89","0","1","0","1","50.0","1","100.0","7.89","7.89","0","1","0","2023-09-30"
"organic chicken bone broth","488","1595","38604","56","0.15","913","57.24","1","0.11","9.99","7.29","33","199","145","368","23.07","1","0.27","7.99","7.29","11","65","44","153","9.59","1","0.65","7.99","7.29","3","27","17","2023-09-30"
"turmeric powder","728","44162","1070665","571","0.05","23892","54.1","2","0.01","8.99","6.49","2571","9813","6743","13823","31.3","1","0.01","6.99","6.49","1627","5800","3690","5295","11.99","0","0.0","7.79",,"699","2373","1326","2023-09-30"
"thai kitchen","172","4214","101695","663","0.65","1391","33.01","4","0.29","5.23","7.39","74","263","191","688","16.33","2","0.29","4.68","7.39","37","117","76","224","5.32","2","0.89","4.83","7.39","15","43","28","2023-09-30"
"thai yellow curry","76","342","8921","329","3.69","142","41.52","26","18.31","8.08","7.39","5","31","42","65","19.01","11","16.92","8.08","6.49","5","14","21","25","7.31","5","20.0","8.08","7.99","2","9","6","2023-09-30"
"prepared foods","351","66498","1317274","379","0.03","17472","26.27","1","0.01","9.99","6.49","6","52","60","10423","15.67","1","0.01","9.49","6.49","2","11","18","5151","7.75","1","0.02","9.29","6.49","1","3","2","2023-09-30"
"lemon grass fresh stalks","485","21","341","22","6.45","8","38.1","2","25.0","3.69","6.49","0","0","0","7","33.33","1","14.29","3.69","6.49","0","0","0","4","19.05","1","25.0","3.29","6.49","0","0","0","2023-09-30"
"vegan green curry","802","18","499","25","5.01","10","55.56","2","20.0","7.99","6.49","0","2","3","4","22.22","2","50.0","6.99","6.49","0","2","0","1","5.56","0","0.0","6.99",,"0","0","0","2023-09-30"
"organic red coconut curry paste","592","6","114","6","5.26","3","50.0","1","33.33","9.99","7.99","0","3","0","1","16.67","1","100.0","7.99","7.99","0","1","0","1","16.67","1","100.0","7.99","7.99","0","1","0","2023-09-30"
"cilantro organic","105","8657","168520","4322","2.56","5767","66.62","4","0.07","1.89","6.49","2","14","11","5528","63.86","2","0.04","1.89","6.49","2","8","8","3324","38.4","0","0.0","1.89",,"1","3","4","2023-09-30"
"gluten free red curry paste","804","9","255","22","8.63","6","66.67","2","33.33","4.79","6.49","0","3","0","5","55.56","2","40.0","5.99","6.49","0","2","0","2","22.22","0","0.0","3.98",,"0","1","0","2023-09-30"
"yellow potatoes","216","7313","147414","2213","1.5","4105","56.13","2","0.05","5.49","6.49","2","5","3","3622","49.53","0","0.0","5.49",,"2","1","0","1982","27.1","0","0.0","4.69",,"1","0","0","2023-09-30"
"red curry paste indian","542","26","623","24","3.85","15","57.69","1","6.67","9.44","7.99","0","7","6","8","30.77","1","12.5","9.44","7.99","0","4","4","7","26.92","1","14.29","9.99","7.99","0","4","3","2023-09-30"
"miso ginger broth","198","180","4068","112","2.75","84","46.67","13","15.48","10.5","7.99","3","15","26","48","26.67","7","14.58","10.5","7.99","2","6","17","12","6.67","0","0.0","7.49",,"1","1","1","2023-09-30"
"lemongrss","498","14","365","12","3.29","7","50.0","2","28.57","7.99","7.99","0","3","0","5","35.71","1","20.0","7.99","8.69","0","1","0","3","21.43","1","33.33","7.99","8.69","0","0","0","2023-09-30"
"doubanjiang","206","3901","118433","1290","1.09","1753","44.94","3","0.17","9.99","7.99","61","579","595","780","19.99","1","0.13","9.99","7.99","23","282","247","357","9.15","1","0.28","9.99","7.99","16","138","106","2023-09-30"
"red curry paste thai","33","1960","49883","1987","3.98","1070","54.59","47","4.39","5.93","6.99","83","398","355","708","36.12","31","4.38","4.79","6.99","66","267","225","323","16.48","14","4.33","3.98","7.29","38","138","93","2023-09-30"
"dairy free yellow curry","687","1","14","1","7.14","1","100.0","1","100.0","7.39","7.39","0","0","0","1","100.0","1","100.0","7.39","7.39","0","0","0","1","100.0","1","100.0","7.39","7.39","0","0","0","2023-09-30"
"lemongrass powder","232","914","24314","125","0.51","481","52.63","2","0.42","9.99","6.49","11","174","182","216","23.63","2","0.93","9.99","6.49","7","76","76","80","8.75","2","2.5","9.99","6.49","5","30","21","2023-09-30"
"frozen asian vegetables","558","227","5448","14","0.26","135","59.47","1","0.74","3.29","6.49","0","0","1","97","42.73","1","1.03","3.19","6.49","0","0","0","51","22.47","1","1.96","3.19","6.49","0","0","0","2023-09-30"
"gochujang organic paste","240","23","488","20","4.1","16","69.57","3","18.75","9.79","7.99","1","5","4","5","21.74","2","40.0","9.79","7.99","1","2","1","4","17.39","2","50.0","7.99","7.99","0","2","1","2023-09-30"
"thai basil paste","310","51","1192","48","4.03","31","60.78","6","19.35","9.99","7.99","0","11","11","14","27.45","2","14.29","9.99","7.99","0","6","3","2","3.92","1","50.0","7.99","7.99","0","1","1","2023-09-30"
"hoisin sauce","918","20263","508236","385","0.08","11249","55.51","1","0.01","5.25","7.99","332","2507","2429","7703","38.02","0","0.0","4.4",,"220","1623","1510","3308","16.33","0","0.0","4.39",,"102","724","628","2023-09-30"
"organic beef broth","968","1654","38417","85","0.22","1017","61.49","1","0.1","4.49","6.49","26","82","69","658","39.78","1","0.15","4.39","6.49","13","33","28","342","20.68","0","0.0","4.39",,"4","9","10","2023-09-30"
"ground pork","124","29318","647626","1869","0.29","13539","46.18","6","0.04","6.99","6.49","0","3","7","11474","39.14","5","0.04","6.99","6.49","0","1","1","5822","19.86","1","0.02","6.99","6.49","0","0","0","2023-09-30"
"mekhala thai basil","296","5","86","9","10.47","3","60.0","3","100.0","7.99","7.99","0","2","1","3","60.0","3","100.0","7.99","7.99","0","2","1","1","20.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"yellow curry paste mild","353","27","701","48","6.85","16","59.26","3","18.75","7.99","7.99","0","4","8","9","33.33","2","22.22","8.08","7.99","0","2","4","3","11.11","1","33.33","8.08","7.99","0","1","1","2023-09-30"
"organic red thai curry paste","275","18","834","73","8.75","16","88.89","6","37.5","12.99","7.99","0","3","8","4","22.22","3","75.0","7.99","17.9","0","2","1","2","11.11","1","50.0","7.89","7.99","0","1","1","2023-09-30"
"sambal belachan","999","64","1567","64","4.08","34","53.13","1","2.94","15.0","7.89","1","8","4","20","31.25","1","5.0","14.95","7.89","1","6","4","10","15.63","0","0.0","14.95",,"1","3","1","2023-09-30"
"bouillon","436","8820","197502","831","0.42","3479","39.44","1","0.03","7.99","6.99","71","392","477","2133","24.18","1","0.05","7.69","6.99","35","161","200","828","9.39","0","0.0","7.69",,"13","46","51","2023-09-30"
"maya kaimal vegan tikka masala indian simmer sauce","549","26","536","20","3.73","13","50.0","1","7.69","10.95","7.99","0","3","2","3","11.54","1","33.33","10.95","7.99","0","2","1","2","7.69","1","50.0","7.99","7.99","0","2","0","2023-09-30"
"organic tofu","875","4200","98998","438","0.44","2575","61.31","1","0.04","3.29","6.99","12","49","31","1783","42.45","0","0.0","3.23",,"3","10","7","823","19.6","0","0.0","3.19",,"2","4","3","2023-09-30"
"thai kitchen green curry paste","169","205","6009","241","4.01","126","61.46","5","3.97","5.8","6.49","9","50","34","76","37.07","4","5.26","4.79","6.49","7","27","20","29","14.15","2","6.9","4.79","6.49","2","14","5","2023-09-30"
"sezchuan paste","632","1","19","3","15.79","1","100.0","1","100.0","7.99","7.99","0","0","1","1","100.0","1","100.0","7.99","7.99","0","0","1","1","100.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"thai green curry paste","11","1641","42921","1722","4.01","930","56.67","140","15.05","5.9","6.99","68","278","231","561","34.19","96","17.11","4.79","6.99","45","159","122","273","16.64","40","14.65","4.79","7.29","23","82","53","2023-09-30"
"japchae sauce","916","462","10842","275","2.54","234","50.65","4","1.71","10.9","6.49","11","100","67","120","25.97","0","0.0","10.9",,"5","54","39","37","8.01","0","0.0","10.9",,"1","18","16","2023-09-30"
"limes organic fresh bag","605","9","178","5","2.81","3","33.33","1","33.33","0.79","6.49","0","0","0","3","33.33","1","33.33","0.79","6.49","0","0","0","2","22.22","1","50.0","0.59","6.49","0","0","0","2023-09-30"
"galangal root","846","1915","48721","128","0.26","862","45.01","4","0.46","9.99","6.49","24","263","242","446","23.29","1","0.22","9.97","6.49","12","147","135","174","9.09","0","0.0","9.15",,"6","67","54","2023-09-30"
"organic yellow curry paste thai","762","14","427","38","8.9","10","71.43","5","50.0","7.99","7.99","0","4","5","4","28.57","2","50.0","7.99","6.49","0","1","3","1","7.14","0","0.0","9.49",,"0","0","1","2023-09-30"
"basil pesto","819","4755","109751","557","0.51","2487","52.3","1","0.04","4.49","6.49","91","311","211","1549","32.58","0","0.0","4.19",,"56","171","97","703","14.78","0","0.0","4.19",,"26","73","44","2023-09-30"
"thai red curry paste organic","87","91","2328","167","7.17","51","56.04","18","35.29","7.29","6.49","0","10","11","30","32.97","14","46.67","6.49","6.49","0","6","4","10","10.99","3","30.0","6.49","7.29","0","3","1","2023-09-30"
"tamarind paste thai","760","976","25528","122","0.48","573","58.71","3","0.52","8.99","7.89","20","194","254","312","31.97","2","0.64","7.99","7.89","10","109","139","145","14.86","0","0.0","8.95",,"8","58","60","2023-09-30"
"vegetarian green curry paste","508","31","827","45","5.44","19","61.29","1","5.26","11.93","7.99","0","6","9","11","35.48","1","9.09","11.93","7.99","0","5","5","7","22.58","1","14.29","11.93","7.99","0","4","2","2023-09-30"
"lem9ngrass","659","3","58","2","3.45","2","66.67","1","50.0","2.99","6.49","0","0","0","2","66.67","1","50.0","2.99","6.49","0","0","0","2","66.67","1","50.0","2.99","6.49","0","0","0","2023-09-30"
"마라","730","162","3563","123","3.45","35","21.6","7","20.0","9.99","7.99","0","8","7","7","4.32","2","28.57","9.99","7.99","0","0","2","1","0.62","0","0.0","9.99",,"0","0","0","2023-09-30"
"turmeric","263","131047","3320080","551","0.02","52561","40.11","3","0.01","18.24","6.99","8473","21038","11798","20706","15.8","2","0.01","13.99","6.99","3126","7819","4006","10549","8.05","1","0.01","14.99","7.29","1903","4383","1993","2023-09-30"
"sambal oelek chili paste","30","16624","415918","14208","3.42","5536","33.3","62","1.12","12.98","7.89","199","1142","824","1498","9.01","15","1.0","8.35","7.89","113","497","318","701","4.22","5","0.71","8.35","7.89","56","256","141","2023-09-30"
"tom yum soup kit","943","70","2095","70","3.34","34","48.57","2","5.88","8.99","7.99","0","5","19","12","17.14","1","8.33","9.94","7.99","0","2","8","3","4.29","0","0.0","9.94",,"0","1","1","2023-09-30"
"gluten free korean chili paste","370","15","296","16","5.41","9","60.0","3","33.33","7.99","7.99","2","2","4","3","20.0","2","66.67","7.99","7.89","1","0","1","1","6.67","1","100.0","7.99","7.99","1","0","0","2023-09-30"
"tomato paste tube","998","2769","70600","358","0.51","1496","54.03","0","0.0","4.29",,"26","292","257","1104","39.87","0","0.0","3.99",,"13","193","164","474","17.12","0","0.0","3.99",,"4","92","63","2023-09-30"
"lemongrass paste","6","5365","136598","10705","7.84","2372","44.21","467","19.69","10.82","7.29","58","841","742","1253","23.36","289","23.06","9.99","7.39","32","433","384","504","9.39","115","22.82","14.95","7.99","11","204","138","2023-09-30"
"thai yellow curry paste","26","671","17351","909","5.24","363","54.1","74","20.39","7.99","7.29","15","129","126","192","28.61","46","23.96","7.99","7.29","9","76","56","81","12.07","19","23.46","7.99","7.99","3","39","21","2023-09-30"
"chickpea miso","866","701","18561","158","0.85","327","46.65","2","0.61","10.79","6.49","9","33","43","122","17.4","1","0.82","10.49","6.49","0","5","10","34","4.85","0","0.0","12.99",,"0","2","2","2023-09-30"
"chili paste asian","177","1372","32018","937","2.93","422","30.76","7","1.66","8.35","7.99","28","145","109","164","11.95","3","1.83","7.49","7.99","15","72","41","74","5.39","1","1.35","7.49","7.99","8","39","14","2023-09-30"
"instant noodles","215","17872","439140","307","0.07","5740","32.12","2","0.03","12.06","6.49","398","1381","1503","1849","10.35","2","0.11","8.52","6.49","149","382","372","702","3.93","2","0.28","7.38","6.49","81","150","126","2023-09-30"
"oyster sauce","857","38741","971888","504","0.05","19704","50.86","0","0.0","9.98",,"404","4658","5715","11511","29.71","0","0.0","9.36",,"225","2628","3279","4357","11.25","0","0.0","9.95",,"95","1182","1270","2023-09-30"
"lemongrass herb","522","157","3845","39","1.01","63","40.13","1","1.59","9.99","7.29","3","25","18","48","30.57","1","2.08","9.99","7.29","3","20","14","16","10.19","1","6.25","7.99","7.29","0","8","3","2023-09-30"
"organic bbq sauce","442","1475","32686","78","0.24","782","53.02","2","0.26","4.99","6.49","13","94","83","349","23.66","1","0.29","4.67","6.49","5","39","23","154","10.44","1","0.65","4.79","6.49","2","19","11","2023-09-30"
"soup spice base","711","9","134","1","0.75","5","55.56","1","20.0","6.39","8.69","0","0","0","4","44.44","1","25.0","5.79","8.69","0","0","0","1","11.11","1","100.0","8.69","8.69","0","0","0","2023-09-30"
"green curry simmer sauce","547","29","699","21","3.0","12","41.38","1","8.33","9.99","7.99","0","0","7","2","6.9","1","50.0","7.99","7.99","0","0","1","1","3.45","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"tikka masala","422","4461","105314","862","0.82","1927","43.2","1","0.05","8.29","7.99","29","313","302","953","21.36","1","0.1","6.49","7.99","11","115","87","410","9.19","0","0.0","6.29",,"6","45","31","2023-09-30"
"mild red curry paste","151","89","2372","104","4.38","57","64.04","10","17.54","7.99","7.99","3","17","18","15","16.85","3","20.0","7.99","7.99","0","6","6","8","8.99","3","37.5","7.99","7.99","0","4","3","2023-09-30"
"organic korean chili paste gochugaru","601","5","259","5","1.93","3","60.0","1","33.33","19.95","7.99","0","0","3","3","60.0","1","33.33","19.95","7.99","0","0","3","1","20.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"turmeric paste","101","711","17307","735","4.25","277","38.96","10","3.61","15.97","7.29","20","124","80","90","12.66","8","8.89","15.97","7.29","5","42","28","35","4.92","3","8.57","15.97","7.29","1","20","7","2023-09-30"
"vegan indian tikka masala","665","2","38","2","5.26","2","100.0","1","50.0","7.99","7.99","0","0","2","1","50.0","1","100.0","7.99","7.99","0","0","1","1","50.0","1","100.0","7.99","7.99","0","0","1","2023-09-30"
"yellow zucchini","883","423","8628","173","2.01","217","51.3","1","0.46","2.19","7.99","0","2","1","181","42.79","1","0.55","2.19","7.99","0","1","0","95","22.46","0","0.0","1.7",,"0","0","0","2023-09-30"
"tomyum paste","406","26","804","60","7.46","16","61.54","4","25.0","7.99","7.39","2","7","5","8","30.77","4","50.0","7.29","7.39","1","4","1","0","0.0","0",,,,"0","0","0","2023-09-30"
"kaffir lime","271","753","18351","178","0.97","225","29.88","4","1.78","9.99","7.29","5","47","52","91","12.08","3","3.3","7.99","7.39","2","25","21","28","3.72","1","3.57","6.99","7.29","1","8","9","2023-09-30"
"gluten free yellow curry","481","13","247","24","9.72","3","23.08","2","66.67","7.99","6.49","0","2","0","1","7.69","1","100.0","6.49","6.49","0","0","0","1","7.69","1","100.0","6.49","6.49","0","0","0","2023-09-30"
"tom yum","20","1919","47540","1799","3.78","930","48.46","116","12.47","7.99","6.99","32","350","271","337","17.56","49","14.54","7.99","6.99","10","125","86","132","6.88","22","16.67","7.99","7.89","7","49","38","2023-09-30"
